Team,Moneyline_dk
KC Royals,−425
CLE Guardians,+300
TB Rays,+380
MIA Marlins,−580
MIL Brewers,+135
PHI Phillies,−175
LA Dodgers,−195
PIT Pirates,+150
NY Mets,−135
WAS Nationals,+105
MIN Twins,+140
NY Yankees,−180
BAL Orioles,−150
TOR Blue Jays,+120
ATL Braves,−162
BOS Red Sox,+136
CHI White Sox,+235
CHI Cubs,−290
DET Tigers,−105
TEX Rangers,−115
STL Cardinals,+136
HOU Astros,−162
CIN Reds,−130
COL Rockies,+110
SD Padres,−105
LA Angels,−115
SEA Mariners,−162
OAK Athletics,+136
SF Giants,+100
ARI Diamondbacks,−120
