Team,Moneyline_dk
CHI Bears,−130
WAS Commanders,+110
TEN Titans,+250
DET Lions,−310
IND Colts,+164
HOU Texans,−198
GB Packers,−115
JAX Jaguars,−105
ARI Cardinals,+205
MIA Dolphins,−250
ATL Falcons,−105
TB Buccaneers,−115
NY Jets,−218
NE Patriots,+180
BAL Ravens,−115
CLE Browns,−105
BUF Bills,−148
SEA Seahawks,+124
NO Saints,+130
LA Chargers,−155
KC Chiefs,−218
LV Raiders,+180
PHI Eagles,+130
CIN Bengals,−155
CAR Panthers,+114
DEN Broncos,−135
DAL Cowboys,+185
SF 49ers,−225
