Team,Moneyline_dk
KC Royals,−102
DET Tigers,−118
OAK Athletics,+225
BAL Orioles,−278
LA Dodgers,−125
TOR Blue Jays,+105
CHI Cubs,−110
BOS Red Sox,−110
WAS Nationals,+142
MIA Marlins,−170
STL Cardinals,+114
NY Mets,−135
CLE Guardians,+164
ATL Braves,−198
TB Rays,−230
CHI White Sox,+190
CIN Reds,+142
TEX Rangers,−170
NY Yankees,−122
MIL Brewers,+102
MIN Twins,−115
LA Angels,−105
PHI Phillies,−115
SD Padres,−105
ARI Diamondbacks,−135
SEA Mariners,+114
PIT Pirates,+124
SF Giants,−148
