Team,Moneyline_dk
KC Royals,+135
CLE Guardians,−175
TB Rays,−110
MIA Marlins,−120
MIL Brewers,+160
PHI Phillies,−210
LA Dodgers,−175
PIT Pirates,+135
NY Mets,−150
WAS Nationals,+120
MIN Twins,+154
NY Yankees,−185
BAL Orioles,−148
TOR Blue Jays,+124
ATL Braves,−162
BOS Red Sox,+136
CHI White Sox,+235
CHI Cubs,−290
DET Tigers,−105
TEX Rangers,−115
STL Cardinals,+136
HOU Astros,−162
CIN Reds,−125
COL Rockies,+105
SD Padres,−105
LA Angels,−115
SEA Mariners,−162
OAK Athletics,+136
SF Giants,+100
ARI Diamondbacks,−120
