Team,Moneyline_dk
NY Giants,+114
WAS Commanders,−135
CLE Browns,−105
JAX Jaguars,−115
TB Buccaneers,+215
DET Lions,−265
LA Chargers,−170
CAR Panthers,+142
NO Saints,+205
DAL Cowboys,−250
SF 49ers,−258
MIN Vikings,+210
IND Colts,+160
GB Packers,−192
NY Jets,−185
TEN Titans,+154
SEA Seahawks,−148
NE Patriots,+124
LV Raiders,+270
BAL Ravens,−340
LA Rams,−130
ARI Cardinals,+110
PIT Steelers,−155
DEN Broncos,+130
CIN Bengals,+160
KC Chiefs,−192
CHI Bears,+142
HOU Texans,−170
